link,price,surface,rooms,DPE,GES,location,reference,exterieur,stationnement,image,postal_code,city,Population,Superficie,Densité,Infos_ville,latitude,longitude,price_per_m2,is_complete
https://www.etreproprio.com/immobilier-23431633-vente-grand-t2-a-renover-terrasse-vue-degagee-carros-le-neuf-carros,150000,49,2.0,C,A,— Carros 06510 —,Référence: 4861,Balcon,,https://storage.etreproprio.com/classified/image/thumb/b/s/r/35c5d8ca-4b1a-4829-945a-e2ae5f82172d_ptw0.jpeg,06510,Carros,13729 hab.,"15,11 km²",909 hab/km²,"Carros est une commune française située dans le département des Alpes-Maritimes, en région Provence-Alpes-Côte d'Azur.",43.784043,7.191567,3061.2244897959185,True
https://www.etreproprio.com/immobilier-23208140-vente-appartement-colomiers-4-pieces-82-m2-colomiers,179000,82,4.0,D,D,— Colomiers 31770 —,Référence: 3663,,,https://www.etreproprio.com/photo-immobilier-23208140/vente-appartement-colomiers-mzjk-ptw0.jpeg,31770,Colomiers,40916 hab.,"20,83 km²",1964 hab/km²,"Colomiers ( Colomèrs en gascon) est une commune française située dans le nord du département de la Haute-Garonne (en région Occitanie ). Sur le plan historique et culturel, la commune est dans le Pays toulousain, qui s’étend autour de Toulouse le long de la vallée de la Garonne, bordé à l’ouest par les coteaux du Savès, à l’est par ceux du Lauragais et au sud par ceux de la vallée de l’ Ariège et du Volvestre.",43.609804,1.32962,2182.9268292682927,True
https://www.etreproprio.com/immobilier-23433920-vente-appartement-23m-a-huez-huez,100000,23,1.0,E,B,— Huez 38750 —,Référence: 1822005,,,https://storage.etreproprio.com/classified/image/thumb/e/f/m/70d506c6-728d-4c26-8d85-adb44d955cc8_ptw0.jpeg,38750,Huez,1264 hab.,"14,16 km²",89 hab/km²,Huez est une commune française située dans le département de l' Isère en région Auvergne-Rhône-Alpes.,45.08667,6.066699,4347.826086956522,True
https://www.etreproprio.com/immobilier-23429792-vente-appartement-4-pieces-toit-terrasse-type-penthouse-rare-a-la-vente-la-seyne-sur-mer,278000,90,4.0,,,— La Seyne-Sur-Mer 83500 —,Référence: 86353901,,,https://storage.etreproprio.com/classified/image/thumb/n/n/b/2fb678a5-55c9-4306-9d8b-33637218da5f_ptw0.jpeg,83500,La Seyne Sur Mer,,,,ℹ️ Aucune information disponible.,43.093325,5.879651,3088.8888888888887,False
https://www.etreproprio.com/immobilier-23434389-vente-appartement-87m-a-machilly-machilly,415000,87,4.0,E,B,— Machilly 74140 —,Référence: 1860816,,Garage,https://storage.etreproprio.com/classified/image/thumb/h/z/y/d243a9d2-644d-4133-b90a-81f7b683729f_ptw0.jpeg,74140,Machilly,1139 hab.,"5,76 km²",198 hab/km²,"Machilly est une commune française située dans le département de la Haute-Savoie, en région Auvergne-Rhône-Alpes et dans l'agglomération du Grand Genève. Elle se situe à côté des communes de Bons-en-Chablais et Saint-Cergues.",46.25299,6.324271,4770.114942528736,True
https://www.etreproprio.com/immobilier-23432527-vente-perpignan-t4-de-100m2-avec-cave-et-parking-perpignan,120000,100,4.0,C,C,— Perpignan 66000 —,Référence: 1180,,,https://storage.etreproprio.com/classified/image/thumb/l/h/s/65d90df6-8ee8-4bfd-b562-ef10d38d5966_ptw0.jpeg,66000,Perpignan,120996 hab.,"68,07 km²",1778 hab/km²,"Perpignan, est une commune du Sud de la France, préfecture du département des Pyrénées-Orientales et quatrième ville la plus peuplée de la région Occitanie.",42.701507,2.902811,1200.0,True
https://www.etreproprio.com/immobilier-23433499-vente-appartement-t3-traversant-de-70-m-avec-parking-et-deux-terrasses-a-marseille-13011-marseille-11e,330000,70,3.0,C,D,— Marseille-11e 13011 —,,,,https://storage.etreproprio.com/classified/image/thumb/l/h/n/4aaf0be0-c9d3-46a8-920a-7f115a549ef1_ptw0.jpeg,13011,Marseille 11e,877215 hab.,"240,62 km²",3646 hab/km²,"Marseille (en occitan provençal Marselha ou Marsiho ) est une commune française située dans le département des Bouches-du-Rhône, dont elle est la ville-préfecture. Elle est le chef-lieu de la région Provence-Alpes-Côte d'Azur.",43.296535,5.475446,4714.285714285715,False
https://www.etreproprio.com/immobilier-23431820-vente-appartement-en-attique-brunstatt-5-pieces-95-m2-brunstatt,299000,95,5.0,C,C,— Brunstatt 68350 —,Référence: 7263,,,https://storage.etreproprio.com/classified/image/thumb/p/s/p/6830c022-e7aa-4e60-ae92-50e4d3501772_ptw0.jpeg,68350,Brunstatt,6175 hab.,"9,66 km²",639 hab/km²,"Brunstatt est une ancienne commune française, devenue une commune déléguée de la commune nouvelle de Brunstatt-Didenheim le 1 er janvier 2016, située dans la collectivité européenne d'Alsace en région Grand Est.",47.719863,7.317493,3147.3684210526317,True
https://www.etreproprio.com/immobilier-23431818-vente-poisy-agreable-2-pieces-en-dernier-etage-avec-garage-poisy,293000,45,2.0,C,C,— Poisy 74330 —,Référence: 86347376,,Parking,https://storage.etreproprio.com/classified/image/thumb/n/t/s/7e80db53-fc5b-4157-ac1b-402d19a4c54e_ptw0.jpeg,74330,Poisy,9032 hab.,"11,33 km²",797 hab/km²,"Poisy est une commune française située dans le département de la Haute-Savoie (74), en région Auvergne-Rhône-Alpes.",45.920812,6.066185,6511.111111111111,True
https://www.etreproprio.com/immobilier-23428713-vente-appartement-3-chambres-balcon-et-garage-nevers,110000,93,5.0,D,D,— Nevers 58000 —,Référence: 3365,,,https://storage.etreproprio.com/classified/image/thumb/l/z/y/76650c1b-95e4-48fb-86a0-03589c9dc23e_ptw0.jpeg,58000,Nevers,33172 hab.,"17,33 km²",1914 hab/km²,"Nevers est une commune du centre de la France, située dans le département de la Nièvre en région Bourgogne-Franche-Comté.",46.988535,3.160778,1182.7956989247311,True
