link,price,surface,rooms,DPE,GES,location,reference,exterieur,stationnement,image
https://www.etreproprio.com/immobilier-23431633-vente-grand-t2-a-renover-terrasse-vue-degagee-carros-le-neuf-carros,150000 €,49 m²,2 pièces,C,A,— Carros 06510 —,Référence: 4861,Balcon,,https://storage.etreproprio.com/classified/image/thumb/b/s/r/35c5d8ca-4b1a-4829-945a-e2ae5f82172d_ptw0.jpeg
https://www.etreproprio.com/immobilier-23208140-vente-appartement-colomiers-4-pieces-82-m2-colomiers,179000 €,82 m²,4 pièces,D,D,— Colomiers 31770 —,Référence: 3663,,,https://www.etreproprio.com/photo-immobilier-23208140/vente-appartement-colomiers-mzjk-ptw0.jpeg
https://www.etreproprio.com/immobilier-23433920-vente-appartement-23m-a-huez-huez,100000 €,23 m²,1 pièce,E,B,— Huez 38750 —,Référence: 1822005,,,https://storage.etreproprio.com/classified/image/thumb/e/f/m/70d506c6-728d-4c26-8d85-adb44d955cc8_ptw0.jpeg
https://www.etreproprio.com/immobilier-23429792-vente-appartement-4-pieces-toit-terrasse-type-penthouse-rare-a-la-vente-la-seyne-sur-mer,278000 €,90 m²,4 pièces,,,— La Seyne-Sur-Mer 83500 —,Référence: 86353901,,,https://storage.etreproprio.com/classified/image/thumb/n/n/b/2fb678a5-55c9-4306-9d8b-33637218da5f_ptw0.jpeg
https://www.etreproprio.com/immobilier-23434389-vente-appartement-87m-a-machilly-machilly,415000 €,87 m²,4 pièces,E,B,— Machilly 74140 —,Référence: 1860816,,Garage,https://storage.etreproprio.com/classified/image/thumb/h/z/y/d243a9d2-644d-4133-b90a-81f7b683729f_ptw0.jpeg
https://www.etreproprio.com/immobilier-23432527-vente-perpignan-t4-de-100m2-avec-cave-et-parking-perpignan,120000 €,100 m²,4 pièces,C,C,— Perpignan 66000 —,Référence: 1180,,,https://storage.etreproprio.com/classified/image/thumb/l/h/s/65d90df6-8ee8-4bfd-b562-ef10d38d5966_ptw0.jpeg
https://www.etreproprio.com/immobilier-23433499-vente-appartement-t3-traversant-de-70-m-avec-parking-et-deux-terrasses-a-marseille-13011-marseille-11e,330000 €,70 m²,3 pièces,C,D,— Marseille-11e 13011 —,,,,https://storage.etreproprio.com/classified/image/thumb/l/h/n/4aaf0be0-c9d3-46a8-920a-7f115a549ef1_ptw0.jpeg
https://www.etreproprio.com/immobilier-23431820-vente-appartement-en-attique-brunstatt-5-pieces-95-m2-brunstatt,299000 €,95 m²,5 pièces,C,C,— Brunstatt 68350 —,Référence: 7263,,,https://storage.etreproprio.com/classified/image/thumb/p/s/p/6830c022-e7aa-4e60-ae92-50e4d3501772_ptw0.jpeg
https://www.etreproprio.com/immobilier-23431818-vente-poisy-agreable-2-pieces-en-dernier-etage-avec-garage-poisy,293000 €,45 m²,2 pièces,C,C,— Poisy 74330 —,Référence: 86347376,,Parking,https://storage.etreproprio.com/classified/image/thumb/n/t/s/7e80db53-fc5b-4157-ac1b-402d19a4c54e_ptw0.jpeg
https://www.etreproprio.com/immobilier-23428713-vente-appartement-3-chambres-balcon-et-garage-nevers,110000 €,93 m²,5 pièces,D,D,— Nevers 58000 —,Référence: 3365,,,https://storage.etreproprio.com/classified/image/thumb/l/z/y/76650c1b-95e4-48fb-86a0-03589c9dc23e_ptw0.jpeg
https://www.etreproprio.com/immobilier-23433108-vente-appartement-marseille-3-pieces-49m2-marseille-13e,109000 €,49 m²,3 pièces,D,D,— Marseille-13e 13013 —,Référence: 332,,,https://storage.etreproprio.com/classified/image/thumb/w/s/p/9ba57ebc-1d82-44af-855f-2703880657f3_ptw0.jpeg
